audit,strategy,model,protected_attribute,metric,value,ci_low,ci_high,p_value,significant,n_disadvantaged,n_advantaged,small_sample_warning,note
ai_fair_recruitment,unawareness,gradient_boosting,gender,equalized_odds_diff,-0.0024809862916043077,-0.009340331823141002,0.0038515869623970303,0.5033333333333333,False,6344,10755,False,driven_by_fpr_gap
ai_fair_recruitment,unawareness,gradient_boosting,gender,predictive_parity_diff,-0.016791470870597736,-0.06218030923146889,0.02366057804052336,0.45666666666666667,False,733,1350,False,
ai_fair_recruitment,unawareness,gradient_boosting,gender,accuracy_equality_diff,0.016815534591991255,0.007126489125597344,0.02705105332334822,0.0033333333333333335,True,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,gender,demographic_parity_diff,-0.006532351181578286,-0.01482950994990234,0.002191035349477684,0.14,False,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,gender,disparate_impact_ratio,0.9439957934822404,0.875867352521561,1.019101845786707,0.12666666666666668,False,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,gender,equal_opportunity_diff,0.00017848266631492749,-0.02212440452990747,0.022948104519051923,1.0,False,2066,3897,False,
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,gender,equalized_odds_diff,-0.004214277883596768,-0.01178500219552418,0.003926007977168885,0.3233333333333333,False,6344,10755,False,driven_by_fpr_gap
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,gender,predictive_parity_diff,-0.011376058902999864,-0.047880566863018365,0.030731235474245746,0.5833333333333334,False,926,1709,False,
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,gender,accuracy_equality_diff,0.017205314708287345,0.006320629487989793,0.026883021006088734,0.01,True,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,random_forest,gender,demographic_parity_diff,-0.0071317182494352455,-0.01592631167541988,0.0024115102563378385,0.11333333333333333,False,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,random_forest,gender,disparate_impact_ratio,0.9373918403499281,0.8623022344821607,1.02174172424589,0.11333333333333333,False,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,random_forest,gender,equal_opportunity_diff,0.006547469557961677,-0.012762507387095745,0.02986623922738492,0.6066666666666667,False,2066,3897,False,
ai_fair_recruitment,unawareness_proxy_removal,random_forest,gender,equalized_odds_diff,-0.007500529094945724,-0.014915924101696437,9.502493927864778e-05,0.03666666666666667,True,6344,10755,False,driven_by_fpr_gap
ai_fair_recruitment,unawareness_proxy_removal,random_forest,gender,predictive_parity_diff,0.007344061298591775,-0.035921547250330595,0.043898147270880906,0.7133333333333334,False,898,1669,False,
ai_fair_recruitment,unawareness_proxy_removal,random_forest,gender,accuracy_equality_diff,0.021507195228954945,0.009929963338108392,0.03245178388311558,0.0,True,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,gender,demographic_parity_diff,-0.005950415879072246,-0.012581721544266133,0.0023117089362630367,0.16333333333333333,False,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,gender,disparate_impact_ratio,0.9358465390112906,0.8661148534120698,1.026157081537965,0.15666666666666668,False,8410,14652,False,
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,gender,equal_opportunity_diff,-0.006309616874598356,-0.025525986678759265,0.01410667003510776,0.5633333333333334,False,2066,3897,False,
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,gender,equalized_odds_diff,-0.006309616874598356,-0.025525986678759265,0.01410667003510776,0.5633333333333334,False,2066,3897,False,driven_by_tpr_gap
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,gender,predictive_parity_diff,-0.025191770741983865,-0.07050530708518551,0.020277853377281843,0.2733333333333333,False,730,1359,False,
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,gender,accuracy_equality_diff,0.015197253247193787,0.005106234355639874,0.025438429186942804,0.01,True,8410,14652,False,
ai_fair_recruitment,in_processing,logistic_regression,gender,demographic_parity_diff,-0.006532351181578286,-0.01482950994990234,0.002191035349477684,0.14,False,8410,14652,False,
ai_fair_recruitment,in_processing,logistic_regression,gender,disparate_impact_ratio,0.9439957934822404,0.875867352521561,1.019101845786707,0.12666666666666668,False,8410,14652,False,
ai_fair_recruitment,in_processing,logistic_regression,gender,equal_opportunity_diff,0.00017848266631492749,-0.02212440452990747,0.022948104519051923,1.0,False,2066,3897,False,
ai_fair_recruitment,in_processing,logistic_regression,gender,equalized_odds_diff,-0.004214277883596768,-0.01178500219552418,0.003926007977168885,0.3233333333333333,False,6344,10755,False,driven_by_fpr_gap
ai_fair_recruitment,in_processing,logistic_regression,gender,predictive_parity_diff,-0.011376058902999864,-0.047880566863018365,0.030731235474245746,0.5833333333333334,False,926,1709,False,
ai_fair_recruitment,in_processing,logistic_regression,gender,accuracy_equality_diff,0.017205314708287345,0.006320629487989793,0.026883021006088734,0.01,True,8410,14652,False,
ai_fair_recruitment,in_processing,random_forest,gender,demographic_parity_diff,-0.0069424358960625265,-0.015694755668001804,0.0024228733652039104,0.12666666666666668,False,8410,14652,False,
ai_fair_recruitment,in_processing,random_forest,gender,disparate_impact_ratio,0.9387599798553082,0.8644031996811175,1.0219570376210747,0.12666666666666668,False,8410,14652,False,
ai_fair_recruitment,in_processing,random_forest,gender,equal_opportunity_diff,0.006605845934557347,-0.013141953834967754,0.030532295053583278,0.6433333333333333,False,2066,3897,False,
ai_fair_recruitment,in_processing,random_forest,gender,equalized_odds_diff,-0.007286238313743629,-0.014838778834208902,0.0005043868712930326,0.04666666666666667,True,6344,10755,False,driven_by_fpr_gap
ai_fair_recruitment,in_processing,random_forest,gender,predictive_parity_diff,0.006771851109414473,-0.03577115825090222,0.046078353552917894,0.7866666666666666,False,895,1661,False,
ai_fair_recruitment,in_processing,random_forest,gender,accuracy_equality_diff,0.021388289164745777,0.009760802581848945,0.03239835852499345,0.0,True,8410,14652,False,
ai_fair_recruitment,in_processing,gradient_boosting,gender,demographic_parity_diff,-0.006008992453701123,-0.013176942075574646,0.0027673625414409916,0.16333333333333333,False,8410,14652,False,
ai_fair_recruitment,in_processing,gradient_boosting,gender,disparate_impact_ratio,0.9388591238920054,0.870803236114009,1.0294558688340596,0.16333333333333333,False,8410,14652,False,
ai_fair_recruitment,in_processing,gradient_boosting,gender,equal_opportunity_diff,-0.0084038383337047,-0.027177044495964694,0.011004139506125919,0.44333333333333336,False,2066,3897,False,
ai_fair_recruitment,in_processing,gradient_boosting,gender,equalized_odds_diff,-0.0084038383337047,-0.027177044495964694,0.011004139506125919,0.44333333333333336,False,2066,3897,False,driven_by_tpr_gap
ai_fair_recruitment,in_processing,gradient_boosting,gender,predictive_parity_diff,-0.03147193585337915,-0.07222275916380293,0.008403493699885405,0.15666666666666668,False,776,1440,False,
ai_fair_recruitment,in_processing,gradient_boosting,gender,accuracy_equality_diff,0.013768254255769108,0.0038470895768755566,0.023847139892026945,0.023333333333333334,True,8410,14652,False,
ai_fair_recruitment,post_processing,logistic_regression,gender,demographic_parity_diff,-0.01612818093198594,-0.02382693024339873,-0.007567819549091843,0.0,True,8410,14652,False,
ai_fair_recruitment,post_processing,logistic_regression,gender,disparate_impact_ratio,0.8461537416275519,0.7775775980746815,0.9246684563496903,0.0,True,8410,14652,False,
ai_fair_recruitment,post_processing,logistic_regression,gender,equal_opportunity_diff,-0.020971526984417982,-0.04134348510942839,0.0018200419018178766,0.056666666666666664,False,2066,3897,False,
ai_fair_recruitment,post_processing,logistic_regression,gender,equalized_odds_diff,-0.020971526984417982,-0.04134348510942839,0.0018200419018178766,0.056666666666666664,False,2066,3897,False,driven_by_tpr_gap
ai_fair_recruitment,post_processing,logistic_regression,gender,predictive_parity_diff,-0.008001005361930269,-0.049520489485589805,0.03610257309819037,0.68,False,746,1536,False,
ai_fair_recruitment,post_processing,logistic_regression,gender,accuracy_equality_diff,0.017379129210282618,0.007438169982759756,0.027747177238853837,0.0033333333333333335,True,8410,14652,False,
ai_fair_recruitment,post_processing,random_forest,gender,demographic_parity_diff,-0.007941094266896875,-0.01524218751775232,-0.0001986705925469318,0.03,True,8410,14652,False,
ai_fair_recruitment,post_processing,random_forest,gender,disparate_impact_ratio,0.8984717054048861,0.8151889298414907,0.9972960707671157,0.02666666666666667,True,8410,14652,False,
ai_fair_recruitment,post_processing,random_forest,gender,equal_opportunity_diff,0.0003524939505927249,-0.015830704533310667,0.020405332023715195,1.0,False,2066,3897,False,
