audit,strategy,model,metric,value,ci_low,ci_high,n
benefits_denial,unawareness,logistic_regression,accuracy,0.7988638108398587,0.7900314755105174,0.8093044679871028,6513
benefits_denial,unawareness,logistic_regression,auc,0.7957519964507543,,,6513
benefits_denial,unawareness,logistic_regression,f1,0.4387317909168809,0.4133448371228169,0.46277680061335863,6513
benefits_denial,unawareness,random_forest,accuracy,0.833256563795486,0.8242553354828804,0.8417818209734378,6513
benefits_denial,unawareness,random_forest,auc,0.8764840541879036,,,6513
benefits_denial,unawareness,random_forest,f1,0.6257753273604412,0.6054058709070765,0.6478142482665005,6513
benefits_denial,unawareness,gradient_boosting,accuracy,0.8592046675879011,0.8519077230155074,0.8673422385997236,6513
benefits_denial,unawareness,gradient_boosting,auc,0.9095159638678525,,,6513
benefits_denial,unawareness,gradient_boosting,f1,0.6629915472252847,0.6434018642990582,0.6830727735019241,6513
benefits_denial,unawareness_proxy_removal,logistic_regression,accuracy,0.8109933978197451,0.802007523414709,0.82081989866421,6513
benefits_denial,unawareness_proxy_removal,logistic_regression,auc,0.7721351318586079,,,6513
benefits_denial,unawareness_proxy_removal,logistic_regression,f1,0.4329801934592354,0.4071647319963494,0.45711020600919255,6513
benefits_denial,unawareness_proxy_removal,random_forest,accuracy,0.8314140948871488,0.8241171503147551,0.8403999692921849,6513
benefits_denial,unawareness_proxy_removal,random_forest,auc,0.8115333721961993,,,6513
benefits_denial,unawareness_proxy_removal,random_forest,f1,0.49771271729185734,0.4709746882616092,0.5226934981024606,6513
benefits_denial,unawareness_proxy_removal,gradient_boosting,accuracy,0.831874712114233,0.8239636112390604,0.8411830185782282,6513
benefits_denial,unawareness_proxy_removal,gradient_boosting,auc,0.8085474660035905,,,6513
benefits_denial,unawareness_proxy_removal,gradient_boosting,f1,0.4997715851987209,0.47379290459771495,0.523185073849048,6513
benefits_denial,in_processing,logistic_regression,accuracy,0.7842775986488562,0.7736757254721327,0.793489943190542,6513
benefits_denial,in_processing,logistic_regression,auc,0.6486214430160335,,,6513
